nume_actiune,timestamp
add user,Sun Apr 25 16:41:39 EEST 2021
add user,Sun Apr 25 16:41:39 EEST 2021
add user,Sun Apr 25 16:41:39 EEST 2021
add user,Sun Apr 25 16:41:39 EEST 2021
add user,Sun Apr 25 16:42:55 EEST 2021
add user,Sun Apr 25 16:42:55 EEST 2021
add user,Sun Apr 25 16:42:55 EEST 2021
add user,Sun Apr 25 16:42:55 EEST 2021
add pick up point,Sun Apr 25 16:51:59 EEST 2021
add user,Sun Apr 25 16:51:59 EEST 2021
add user,Sun Apr 25 16:51:59 EEST 2021
add user,Sun Apr 25 16:51:59 EEST 2021
add user,Sun Apr 25 16:51:59 EEST 2021
add person to company,Sun Apr 25 16:51:59 EEST 2021
add person to company,Sun Apr 25 16:51:59 EEST 2021
print users,Sun Apr 25 16:51:59 EEST 2021
add book,Sun Apr 25 16:51:59 EEST 2021
add book,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
update book stock,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
add borrowing,Sun Apr 25 16:51:59 EEST 2021
add borrowing,Sun Apr 25 16:51:59 EEST 2021
add borrowing,Sun Apr 25 16:51:59 EEST 2021
add borrowing,Sun Apr 25 16:51:59 EEST 2021
print borrowings,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
update pick up point,Sun Apr 25 16:51:59 EEST 2021
print pick up points,Sun Apr 25 16:51:59 EEST 2021
search books by user,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
rate book,Sun Apr 25 16:51:59 EEST 2021
rate book,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
print first company with expired sub,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
remove book,Sun Apr 25 16:51:59 EEST 2021
print books,Sun Apr 25 16:51:59 EEST 2021
print users,Sun Apr 25 16:51:59 EEST 2021
remove user,Sun Apr 25 16:51:59 EEST 2021
remove user,Sun Apr 25 16:51:59 EEST 2021
print users,Sun Apr 25 16:51:59 EEST 2021
